bloco,talhao,area,safra,data_colheita,TCH,NDVI_b01,NDVI_b02,NDVI_b03,NDVI_b04,NDVI_b05,NDVI_b06,NDVI_b07,NDVI_b08,NDVI_b09,NDVI_b10,NDVI_b11,NDVI_b12
405,1,59.51,2014,2014-09-27,31.904255319148938,0.4136069422228294,0.4747201335011867,0.4192452594941976,0.5624165733655294,0.6240299216338566,0.6615822632846079,0.6321470685172499,0.5848191244560376,0.5603993960445927,0.4183187900405181,0.347347575265008,0.3463547229766845
403,4,44.24,2017,2017-09-15,91.61984626135568,0.5332212277895046,0.557344791220708,0.6504001316328073,0.7149077416464472,0.7297473752405494,0.6513410617652184,0.7550416518705452,0.72462940774858,0.6564443467650563,0.4922685789254804,0.4520320822484791,0.3428992566186934
403,4,44.24,2015,2015-08-21,85.69109947643979,0.6105755343052902,0.6353230036315862,0.7420265060244945,0.760032528325131,0.7373497058686457,0.7797741202408808,0.7886305409565306,0.7920710064078632,0.6559229973130501,0.533653828438779,0.6190621490149122,0.5442256752771941
403,3,109.1,2017,2017-09-15,67.29016245487364,0.5172867000788107,0.5404014557942577,0.6286728821706848,0.7113418181459387,0.733000549982334,0.6995164353880998,0.7693328342004998,0.7327957936402025,0.6670322223470129,0.4802310056032476,0.456121300520568,0.3404706041360723
403,3,109.1,2015,2015-08-21,92.91323792486584,0.5874176536127925,0.6156657852232457,0.7261551469564438,0.7538259641329448,0.7339890755712986,0.7754371961951256,0.77553690969944,0.7794469302892685,0.7115799515675276,0.5304634297773037,0.5733988837897778,0.4941936463614305
403,2,35.24,2017,2017-09-15,56.22892720306513,0.5453554574207867,0.5734208494633493,0.6554498442988658,0.7218476825285793,0.7471902839426329,0.7297998865833506,0.7763636344776207,0.7313833001533397,0.6918218527879587,0.4951501294477459,0.4718438658158136,0.3352502783899325
403,2,35.24,2015,2015-08-21,89.07469765235949,0.5351921349812409,0.5666856608807588,0.6922345019707073,0.7297250040191005,0.7134054631286024,0.7509846920299219,0.743954976917478,0.7501457868453346,0.6897336365403356,0.5022471736332303,0.5615446458810316,0.4926854602094582
403,1,114.09,2017,2017-09-15,71.26570351758794,0.4583697190658505,0.4684249824294552,0.5836395144931913,0.7068130581275277,0.7209064397093368,0.6915584982525219,0.7518316827513076,0.6911942226166173,0.6277952868508422,0.4284818832606963,0.4123352761954477,0.3285889460207665
403,1,114.09,2015,2015-08-21,117.15504358655043,0.4975118827840961,0.527985938404187,0.6696324577779634,0.7209603565240864,0.7041091627263009,0.7435539487405871,0.7306740774330518,0.7398095834762493,0.68171748598065,0.475275927612614,0.5275547562550146,0.4662210360063729
398,3,110.66,2017,2017-08-06,86.78406617326948,0.6334097824700466,0.7385589155631188,0.762192018309149,0.6912097435761995,0.792760614354115,0.7946640823282632,0.7847745176646617,0.6578102252393399,0.5772603273287702,0.4562900606300923,0.4228464552479518,0.3025075959863963
398,2,122.1,2017,2017-08-06,62.48737980769231,0.6270255819285587,0.7216725921044584,0.764297756438827,0.6621413860613337,0.7932102494425588,0.7913309693550123,0.7868833628309754,0.6760503960356993,0.5594493471201666,0.4424533280201289,0.4092766073939604,0.3020463501897769
398,1,124.21,2017,2017-08-06,64.79170879676441,0.6214639144455827,0.6617866698468086,0.7240950730865766,0.6374394740922595,0.772157022717015,0.7590331482852615,0.778403748601875,0.6554155432596439,0.557285270934937,0.4277058201748253,0.3939667925138601,0.3068339786753249
397,2,76.49,2017,2017-11-01,143.10897994768962,0.468342624133588,0.4962715634975835,0.5519157255375227,0.5987095369213637,0.6794280223668971,0.7167342668902632,0.6585939483983176,0.8024956865481898,0.7696727439697099,0.7864196414969844,0.7040189263412895,0.6277098063348738
397,2,76.49,2016,2016-06-18,128.49607672188316,0.5668761122016441,0.6987067218502956,0.8095917029133259,0.6395136212047777,0.7324639016223702,0.5530436625838034,0.6895757407578149,0.5504786670207977,0.5950403535254387,0.4999983577315087,0.3834278274336241,0.3144834218757586
397,1,111.52,2017,2017-11-01,107.20307960488088,0.4126476336499317,0.5403687780755654,0.596045415608855,0.635288655741565,0.6890921987565269,0.7302953069821333,0.6798689527693933,0.8136512179646576,0.7750095371735587,0.799452759979064,0.7088224628861521,0.6548792001326954
396,1,72.9,2017,2017-10-23,105.51765360022242,0.5099160331479513,0.5367182280227053,0.5873311940947028,0.6137918743842877,0.7237596862588098,0.6910690526538535,0.7220577153056489,0.7553491945274192,0.7924710455365845,0.703109983253479,0.6659842489567478,0.5721708296752367
396,1,72.9,2016,2016-07-17,129.79510703363914,0.6587835823750643,0.7091694784366478,0.7270279780330057,0.8115001448068788,0.7124991632678026,0.7630735379767556,0.4657317578792572,0.6780989997577472,0.5012790746003651,0.6145637011857795,0.5193680998372154,0.4301362486678313
394,1,54.63,2017,2017-10-15,72.80244399185337,0.3895203370951751,0.398784315038155,0.4317109945643643,0.5528907931572653,0.6322092248126865,0.7112248906105623,0.703023194197582,0.5032661606584277,0.7092700680809705,0.597090754273761,0.5070042833685875,0.4391712961977372
